Num. samples,2,4,6,8,10,12,14,16,18,20,30,40,50,60,70,80,90,100
100,0.8033,0.858,0.8813,0.8832,0.8894,0.8884,0.8917,0.8934,0.8963,0.9003,0.9042,0.9052,0.9052,0.9068,0.9081,0.9076,0.9087,0.9069
200,0.8811,0.8987,0.9083,0.9191,0.9203,0.9192,0.9182,0.92,0.9199,0.9212,0.924,0.9246,0.9253,0.9241,0.9238,0.9252,0.9268,0.9277
300,0.8903,0.9223,0.9293,0.9306,0.9301,0.9305,0.9329,0.9334,0.9324,0.9351,0.9357,0.9359,0.9379,0.9375,0.9376,0.9372,0.9365,0.9362
400,0.921,0.9304,0.9366,0.9375,0.9373,0.9384,0.9392,0.9407,0.9404,0.9408,0.9417,0.9423,0.9425,0.9422,0.9422,0.9419,0.9417,0.943
500,0.9115,0.9372,0.9461,0.9418,0.9427,0.9414,0.9438,0.9464,0.9445,0.9473,0.9473,0.9457,0.9464,0.9463,0.9472,0.9472,0.9473,0.9469
600,0.932,0.9422,0.9452,0.947,0.9478,0.9473,0.9504,0.9476,0.9507,0.9507,0.9498,0.9507,0.9505,0.9507,0.9533,0.952,0.9519,0.9503
700,0.9337,0.945,0.949,0.9492,0.9539,0.9527,0.9505,0.9526,0.9523,0.953,0.9529,0.9522,0.9544,0.9543,0.9523,0.9519,0.9523,0.9524
800,0.9365,0.9485,0.9531,0.9526,0.9555,0.9542,0.9541,0.9559,0.9556,0.9526,0.9535,0.9564,0.9569,0.9551,0.9545,0.9552,0.9558,0.9555
900,0.953,0.9507,0.9524,0.9583,0.957,0.9556,0.9547,0.957,0.958,0.9558,0.9581,0.957,0.9575,0.9573,0.9572,0.9583,0.9585,0.9583
1000,0.9426,0.953,0.9573,0.959,0.9576,0.9597,0.9564,0.9582,0.9592,0.9589,0.9595,0.9594,0.9596,0.9593,0.9592,0.9592,0.9588,0.9589
2000,0.9637,0.9679,0.9673,0.9702,0.971,0.9708,0.9718,0.9718,0.9712,0.9716,0.9703,0.9715,0.9717,0.971,0.9713,0.9723,0.9724,0.9722
3000,0.968,0.9761,0.9768,0.9775,0.9773,0.9774,0.977,0.9784,0.9775,0.9779,0.9788,0.9784,0.9783,0.9783,0.979,0.9795,0.9783,0.9784
4000,0.9726,0.9772,0.9791,0.98,0.9803,0.9809,0.9813,0.9803,0.9808,0.9813,0.9818,0.9815,0.9813,0.9817,0.9821,0.9823,0.9824,0.9825
5000,0.9587,0.9794,0.9811,0.9816,0.9826,0.9816,0.9821,0.9824,0.9825,0.984,0.9835,0.9824,0.9832,0.9833,0.9838,0.9829,0.9836,0.9832
6000,0.9741,0.9799,0.9822,0.9829,0.9837,0.9835,0.9845,0.9836,0.9837,0.9835,0.9835,0.9846,0.9842,0.9851,0.9846,0.9838,0.984,0.9842
7000,0.9713,0.9804,0.9825,0.983,0.9837,0.9844,0.9839,0.9847,0.9837,0.9847,0.9848,0.9848,0.985,0.9849,0.9853,0.9853,0.9849,0.9847
8000,0.9705,0.982,0.9814,0.9818,0.9843,0.9849,0.9842,0.9845,0.9847,0.9855,0.9855,0.9857,0.9853,0.9857,0.9859,0.9856,0.9856,0.9857
9000,0.9741,0.981,0.982,0.9839,0.9846,0.9842,0.9851,0.984,0.9857,0.9854,0.9863,0.9857,0.986,0.9851,0.9858,0.9856,0.9856,0.9857
10000,0.974,0.9819,0.9844,0.9845,0.9855,0.986,0.9856,0.9859,0.9863,0.9859,0.985,0.9861,0.9856,0.9855,0.9859,0.9862,0.9866,0.9864
12000,0.9785,0.9836,0.9833,0.9846,0.9867,0.9855,0.9861,0.9852,0.9863,0.9858,0.9856,0.985,0.9862,0.9866,0.986,0.9867,0.9862,0.9868
14000,0.9753,0.9825,0.9817,0.9861,0.9854,0.9862,0.9861,0.9857,0.9867,0.986,0.986,0.9865,0.9869,0.9868,0.9866,0.986,0.9869,0.9865
16000,0.9639,0.9829,0.9865,0.9853,0.9855,0.9854,0.9855,0.9858,0.9871,0.9861,0.987,0.9867,0.9866,0.9861,0.9869,0.9868,0.9871,0.9859
18000,0.9749,0.9819,0.9848,0.9848,0.9857,0.9848,0.9862,0.9862,0.9867,0.9859,0.9863,0.9864,0.9869,0.9869,0.9868,0.9869,0.9867,0.9865
20000,0.9757,0.9847,0.9847,0.9846,0.9845,0.9864,0.9857,0.9858,0.9855,0.9858,0.9871,0.9866,0.987,0.9875,0.9866,0.9872,0.9867,0.9875
